0,Recep_Tayyip_Erdogan
1,Luiz_Inacio_Lula_da_Silva
2,Vicente_Fox
3,Jiang_Zemin
4,Bryan_Pupiales
5,Paul_Bremer
6,Hamid_Karzai
7,Junichiro_Koizumi
8,Igor_Ivanov
9,Hans_Blix
10,Michael_Bloomberg
11,Serena_Williams
12,Laura_Bush
13,Tom_Ridge
14,Winona_Ryder
15,Megawati_Sukarnoputri
16,Andre_Agassi
17,Alvaro_Uribe
18,David_Beckham
19,Jeremy_Greenstock
20,Ariel_Sharon
21,Marco Flores
22,Juan_Carlos_Ferrero
23,Tiger_Woods
24,Rudolph_Giuliani
25,Roh_Moo-hyun
26,Emilio_Raza
27,Fulanito
28,Alejandro_Toledo
29,Jennifer_Lopez
30,John_Negroponte
31,Vladimir_Putin
32,Arnold_Schwarzenegger
33,Mahmoud_Abbas
34,Daniel_Cevallos
35,Silvio_Berlusconi
36,Jack_Straw
37,Colin_Powell
38,Bill_Clinton
39,Jennifer_Capriati
40,Angelina_Jolie
41,George_W_Bush
42,Jacques_Chirac
43,Hugo_Chavez
44,Gloria_Macapagal_Arroyo
45,Lleyton_Hewitt
46,Tom_Daschle
47,Donald_Rumsfeld
48,Guillermo_Coria
49,Jennifer_Aniston
50,Michael_Tejada
51,Ricardo_Lagos
52,Nestor_Kirchner
53,Kofi_Annan
54,Gray_Davis
55,Tomas_Espinoza
56,Saddam_Hussein
